Title,Price,Location,Size,Bedroom
Maytower KL City,RM 1 500 per month,KL City,493 sq.ft.,1 Bedroom
"Furnished Impiana Sky Residency , Bukit Jalil Pavilion",RM 1 600 per month,Bukit Jalil,850 sq.ft.,3 Bedrooms
"Apartment Cendana , Bandar Sri Permaisuri Cheras KL - dekat HUKM",RM 1 000 per month,Cheras,650 sq.ft.,2 Bedrooms
"Maxim Majestic READY TO MOVE IN NEAR MRT TAMAN CONNAUGHT,UCSI",RM 1 350 per month,Cheras,819 sq.ft.,3 Bedrooms
Majestic Maxim 2 Rooms In Taman Connaught Cheras For Rent,RM 1 400 per month,Cheras,650 sq.ft.,2 Bedrooms
"1st Floor, Winner Heights Condominium, Desa Petaling, Height",RM 950 per month,Desa Petaling,830 sq.ft.,3 Bedrooms
Flat Sentul Utama Untuk Disewa,RM 900 per month,Sentul,678 sq.ft.,3 Bedrooms
Casa Green Bukit Jalil | 4R2B | Fully Furnish,RM 1 900 per month,Bukit Jalil,930 sq.ft.,4 Bedrooms
Bukit Jalil Jalilmas Residence,RM 1 100 per month,Bukit Jalil,800 sq.ft.,3 Bedrooms
Sentul Point|Fully Furnished Unit|KLCC View|2R2B|Rent|Move in ASAP,RM 1 900 per month,Sentul,743 sq.ft.,2 Bedrooms
Seri Puteri Condo Taman Ikan Emas Cheras KL,RM 1 500 per month,Cheras,1010 sq.ft.,3 Bedrooms
For Rent - Prisma Cheras Taman Midah,RM 1 800 per month,Cheras,1072 sq.ft.,2 Bedrooms
Zero Deposit Fully Furnished Condo Dato Keramat Chymes Gurney KLCC,RM 1 900 per month,Keramat,700 sq.ft.,2 Bedrooms
Idaman Residence KLCC Kuala Lumpur,RM 3 500 per month,KLCC,929 sq.ft.,2 Bedrooms
Verve Suites Mont Kiara for Rent,RM 2 800 per month,Sri Hartamas,861 sq.ft.,2 Bedrooms
PPA1M Bukit Jalil | Fully Furnish | 4R2B | Middle Flr | Walking To LRT,RM 1 650 per month,Bukit Jalil,1450 sq.ft.,4 Bedrooms
Teratai mewah Apartment Setapak Below Market Price,RM 900 per month,Setapak,700 sq.ft.,3 Bedrooms
Zen suites @ zetapark,RM 1 600 per month,Setapak,618 sq.ft.,1 Bedroom
Fully Furnished Room &FREE WIFI @ Mont Kiara,RM 2 200 per month,Mont Kiara,1016 sq.ft.,1 Bedroom
Apartment Bukit Jalil keluasan 1434 sqft 4R2B Walking distance to LRT,RM 1 800 per month,Bukit Jalil,1434 sq.ft.,4 Bedrooms
Flat PKNS AU3 2room 1bath di Keramat KL neaby Aeon Mall AU,RM 750 per month,Keramat,600 sq.ft.,2 Bedrooms
